stars,text
5,This is our favorite breakfast place The food is good They have the best biscuits  gravy of any restaurant I have eaten at The wait staff is friendly The only complaint I have is that Sunday mornings are packed so there can be a wait to be seated
5,I had looked at several invitation websites along with catalogs with no luck in finding just the right balance of wedding colorsdesign  Thomas at Alphagraphics helped me every step of the way of designing and printing our wedding invitations and programs  I knew I wanted a bookletstyle but needed a little design creativity from Alphagraphics which they nailed  I highly recommend Alphagraphics to anyone needing any print work done  not just wedding invitations  Thomas and his crew are stellar
1,"Yikes reading other reviews I realize my bad experience wasnt unique As a server I make a very laid back customer I like pretty much everything I eat and dont require a lot of attention from the waiter 

La Piccola Cucina would benefit from just one extra person in the front of the house Our guy though adorable and friendly was too busy to refill our drinks and to remember to bring our appetizer though charged us for it The ahi tuna highly recommended over the other fish options he said was so overcooked it was the color and consistency of chicken Like other reviewers mentioned he was frantic and made that clear to every customer At one point I even saw him in the kitchen cooking  they need another person 

I left super stressed out from the experience which is very very unusual for me You can either have bad service or bad food but not both"
5,"I absolutely love this little spot Its a great little known boutique with incredibly unique gift items that I dont have to drive clear out to Scottsdale to find Ive been shopping at Vignettes for about 8 years Whenever I am in a quandary about what to get someone this is the first place that I head to Mostly it is because of the wide range of specialty items that they have on hand Whether its something for the garden a gift for the new bride or baby a unique piece of art or heavenly scented candles  you will not be disappointed

The owners  staff are super friendly and have always been more than willing to help find something within a price range or based on occasion  need And they do the most amazing wrap jobs making gift giving even easier

The final bonus is their annual Clearance sale For three days each year they basically blow out their stock to make way for new finds Ask to be put on their mailing list to ensure your have a heads up and get there early because long time customers like myself never miss it  "
5,Came here with a large group a while back  We were there to eat and have a beer before a concert there It was a weekday so we made it to happy hour Happy Hour pricing was fair The food was pretty good The very best thing there is the beer  They had like everything on tap MMMM
1,This is my first year participating in Arizona to sell clothing just wandering how busy its goona be in there  little worried can any one reply me 
5,"Beeror Yoga

Located in a small center just east of Four Peaks Brewery in Tempe a reasonable distance from the light rail on Apache is an amazing classy studio for the MindBody connection

Mr Mustachio had decided after doing a couple yoga classes with me at the ASU gym that he loved the stretch so pursued a class for a semester at ASU this Spring and had the pleasure of practicing with Tish Hegel After seeing his body transform to only 162 body fat all his jeans get too big on him and fill out his American Apparel briefs nicely I was super jealous He raved about his teacher and I could tell he had destressed a lot since he started the practice

Luckily she opened up a studio recently and it simply goregous The waiting area is filled with yoga material and a very calming space with a remodeled bathroom and dressing rooms to change if coming from workschool Not at all cheesy like the SouthWest Inst with the way too many angels imagery creepy But the gem is truly the practice space Hardwood floors high ceilings a beautiful staircase tasteful decorations and absolutely NO MIRRORS  

That is right the only person staring at my pudge rolls is my teacher and whoever isnt focusing on their tree posturenot the entire class It really relieves a lot of stress  and helps me concentrate on how a posture feels as opposed to just looks

As for Tish Hegel she is simply outstandingshe has so many credentials you have to read her biography for yourself She has been practicing for a loooong time and her handson instruction and confident voice echoes in my ears even now bring those shoulders down 

So far I have done  Ashtanga Inspired Flow pretty intense really hurt for 3 days would recommend after getting into yoga for a while Sivananda ditto  Focus Class did a lot of bike riding and she focused on everybodys body issues and did the sequence right then and there for us and my lower back and knees felt amazing the day after and this morning brought my friend to Kinetic Yoga Morning Movement and Flow which kicked our 6am asses a little bit but we both felt amazing afterwards  She does tons of modifications is always making sure we are okay and is just super personable

I did the huge package since I didnt renew my ASU gym membership for this summer but you can do dropin 

Now for the cliched Yoga Review ending 

NAMASTE"
1,"really I cant believe this place has received such high reviews from people

my lady and i walked in and were greeted rather rudely by a pretentious bitch at the front with a monotone name please instead of a warm friendly french welcome to this rather charming looking place we didnt have a reservation which from the looks of how dead empty the place was didnt seem like a problem until the hostess whisked through her reservation list and explained shed try to fit us in it was 6pm the place had one other couple dining and we were informed that the next party was arriving at 730 we werent really looking to hang out it would have be awfully lovely if yelpers would have informed of the need to MAKE RESERVATIONS before going in here because if you dont youre automatically a piece of shit according to the staff sorry i dont plan very much ahead next time i will and it wont be here

anyways after debating for a minute or two with herself the hostess decided we could squeeze in and sat us right on top of the other couple inside the restaurant she informed us that we could cork our own wine for their low low price of 9 fucking dollars in words only office space could adequately describecoup des tartes what is it exactly that you do 

the food was good nothing spectacular for 25 a plate we got a salad with apples and nuts and bleu cheese which was served warm now this is the first warm salad ive had all of my life and by no means am i some sort of wordly food expert but i believe salad should be cold and crisp not soggy and warm yuck the cordon bleu was tasty and filling however the wobbly table was an extreme annoyance when cutting through the chicken but it was solved with no thanks to the staff by placing a jackinthebox gift card under the leg i will admit the mashed potatoes are some of the creamiest and best ive ever had my lady got the pork tenderloin which had a strange pepperysweet pairing which i didnt particularly care for we were broke for desert so unfortunately we didnt get to try any tarts you would think for a place that promotes itself as being so poise would get some fancier menus other than a 15 piece of cardstock copied in bulk at kinkos

this place was rather disappointing i honestly thought it would be way more comfy and welcoming inside but it really wasnt it presents itself as being so high class and french and ohlala wee wee but when it comes down to it its still located in a tiny shack of a house at 16th street and highland maybe if it were located in the biltmore id give it a bit more cred"
5,"Figured it is time to write a review after going here for quite a few years for dinner on special occasions or just to have some of the best seafood and Bone in fillet around 

First off you have to understand that the cuts are top quality so you can order almost any steak off the menus and be dazzled by the flavor which is fantastic to the point that adding anything to it would destroy the integrity of the taste as is
 I mean the meat is perfection on a plate and this needs no other explaining

If with friends or even your significant other you must start with the the seafood tower which can be order in many different ways to match your appetite and likes When presented at the table you and your guests will be blown away at the quality of the seafood and rightly so as it is brought in fresh daily

The sides are too awesome in their taste and quality and i suggest the Lobster mash or the Maestros Mash potatoes neither of which will leave you hungry in their own right but often wanting more  

Wine selection is great and the atmosphere is top notch but topping it with some of the best servers in town makes this one of my favorites for entertaining 

you will not be disappointed"
5,I cant describe to you how amazing these gourmet adult hot pockets taste They literally MELT in your mouth a few of my favorites are the Cajun Chicken Dill Salmon and the Stilton  SteakBon Appetit everyone And dont forget about the all day everyday3 car bombsyou cant beat that price their happy hour is amazing too
1,"I was really excited about this event maybe my expectations were too high because I was really underwhelmed  Very little shade ran out of water by the time I got there at 1pm other obligations 20 of the vendors were out of food and by the time I ate my way through some everyone else was already out   60 bucks for that  I dont think so  

And when I mentioned it to the person in charge he was patronizing invalidating and kept telling me how happy the chefs were  Well Im your consumer big guy  

Sorry Devoured wish it could have been better 

What food I did try was pretty good"
1,"The beach paradise of IxtapaZihuatenejo awaited usunfortunately so did a connecting flight in ARIZONA of all places

Long story short13 of our luggage did not arrive at our final destination various articles of our clothing are still missing as well as my cell phone chargernot to mention security forcing us to open sealed containers of my sons baby food and milk for litmus tests

I looked on the bright sideat least we didnt get deported "
5,"So very Portlandia in its hipsterness and decor Premium coffee roasted inhouse in the middle of the desert no less Who would have thunk it

Baristas were profesh and friendly They even warmed up our pastries upon request Perfectly foamed milk and fruity noted espresso I hope this place has a long life in Scottsdale where great coffee is few and far between"
5,Awesome subs clean and friendly well priced
5,"I LOVE Chic Nails

I used to go to Tip  Toes on 48th street and Ray Road until one day they were too busy to take my friend and I in for pedicured We discovered Chic Nails and have been doing all of our manicures and pedicures there since 

The staff is extremely friendly and they give the best pedicures for a very reasonable price I highly recommend this nail salon over any other

PS It is extremely close to CKs Bar  Grill to go for happy hour after "
5,After the Padres Spring Training game we had reservations at Don  Charlies in Scottsdale   None of us had been here before and it came highly recommended by my dad  As soon as you walk into Don and Charlies your eyes start feasting on all the signed baseballs down the left wall  Now everywhere you look from floor to ceiling and even the ceiling itself is covered in memorabilia and autographed items from athletes of all sports and other celebrities   Besides the amazing assortment of sports artifacts I especially like the Cactus League Beer List which pairs a beer with each city that has a team in the Cactus League  Colorado  Coors Light  Texas Shiner Bock Chicago Old Style and San Diego Stone IPA etc  Also worth mentioning is the complimentary chopped liver platter with rye bread and bagel chips they bring as soon as you are seated  I had the ribs with coconut shrimp combo which was great I wasnt thrilled with the side dish potatos au gratin which is a 250 upcharge  They also bring a huge bowl of cole slaw with each entrée or you can choose soup which comes in a smaller bowl than the cole slaw  We were too full for dessert and as we walked out this place was packed  I found myself trying to take in as much memorabilia as possible and then on one side of the crowded lobby there sat Willie Mays himself  He was signing his book or a baseball for a 200 charitable donation to his foundation Needless to say I m not bringing home any memorabilia myself
5,Best food super friendly staff and great prices Love it
5,Christy is an amazing cake artist  She has an impressive portfolio as she has a flair for creativity  Her cakes are amazing and are truly oneofakind  She also has several delicious cake flavors to choose from or she can create one for you   She has made several cakes for our family and I have been impressed with everyone of them  I was also excited to see her compete on TLCs Ultimate Cake Off show early this spring  If youre looking for a sculpted cake or one that will be the center of attention at your next party then I recommend you call Phoenix Cake Company
1,See the huge sign outside that says 250 Yeah thats for shirts only I was caught off guard when I brought in my skirt and got nailed for about 379 As I sadly handed over my 5 bill the lady at the counter said a lot of people had told her they felt betrayed by the sign outside No kidding I had originally been heading down the street to Regal on 7th Avewho does a fine job in half the pickup timefor the advertised fake price here Trying to make the best of it  I told the lady at least Id learned they had an onsite alteration service and maybe that was worth a buck UH OH Picked up my skirt a few weeks later with some Jersey Shoretype chick at the counter and was told I owed another 379 I flatout refused to pay twice She screamed at me chased me to my car wrote down my license plate and said the police would be visiting Niiiice
5,"After driving down a teeny dimly lit road and coming across what looked like a medical office building in the 60s my husband and I found the amazing Fuego Bistro We had a perfect meal there Amazing ambiance twinkly lights in the courtyard live musician Great wine Food was so unique and delicious Id describe it as SouthernSpanish fusion This meal was the highlight of our trip to Phoenix 

If you live in Phoenix you have no excuse to not come here I live in Chicago and Im sure Ill be back"
5,"Its just like pizza bianco without the wait This pizza is a 99999 and bianco is a 10 This place has a much larger menu and their deserts are to die for 

If bianco has more then a 30 min wait just drive and or walk here"
5,"As mentioned earlier the best thing about this place is the super cheap but super delicious lunch bentos  You get a main dish rice salad and an orange for under 4 If thats not enough you can get double meat for a buck or two more  I highly recommend the ginger pork or the katsu  My friend I normally go with is a big fan of the white fish fried or grilled  The sushi here isnt bad  Its nothing super special but I dont come here for the sushi so its not a big knock against the place

As they would say on ebay A Great Seller Would eat here again"
5,"twas the night before booyah
and all the through the city
people were piecing 
some pretty shitty
costumes together
at savers good will
george w bush
clintons bill and hill
jayz  beyonce
biden and obama
even saw kanye
oprah super mamma
yep octomom
brad pitt  jolie
and men as madonna
and lynn sue cooney 
i went to Easleys
to see what they had
of course it was madness
every kid mom and dad
crammed into the isles
pulling on wigs
vampire masks
and noises of pigs
all being assisted 
by the yellow teed staff
so very helpful
no panic just laughs
yes we have liberace
in fact we have two
try both of them on
ill grab em for you
they found me a boa
a wig and make up
took just fifteen minutes
case opened and shut
and all around me
this repeated itself
the people rolled in
pleased people rolled out
into the darkness
parties around town
wonder how many
were out gettin down
in get ups from Easleys
im guessing a ton
so check out Bert Easleys
make up magic fun
bright yellow building
south side of mcdowell
since nineteen sixty four
makin halloween howl"
1,"Unless you are a regular or look like your wallet is fat dont expect the best service  Entrees cost about 2038 bucks and Anti pasta runs between 520 desserts are all 8 bucks unless you get aged balsamic vinegar  They also have a big cheese selection 

I made reservations for this restaurant and they sat us by the back door  The waiter never once explained anything on the menu or suggested a wine to go with our meal  He didnt even tell us about the cheese menu except to check on the one we wanted  The other waiter for a table near ours went out of his way to explain the menu and go as far as to tell his tables how to eat the cheese  it comes with jellys and such   

My meal was good I had the duck  She had the salmon which tasted very fishy  Not fresh at all  The wine was 40 bucks for a carafe  maybe if we would have got a 100 dollar bottle we would have gotten better service  The Dessert was good it was a rich chocolate cake with nuts and chocolate sauce Nothing too special  

Overall the experience made the meal not worth the 115 bucks in these times not to mention they overcharged my girls card for the drinks at the bar  If we dont want to give 25 dont charge it plain and simple  

Just a warning reservations and customer service mean nothing  We mentioned our complaints to the waiter and manager  We received an apology but how bout comp our dessert or something  Hyatt Gainey staff is also rude for the most part  

Two thumbs way down"
1,Take your money elsewhere unless youve got kids  I really try to like this place  A family member signed me up for the discount card so Ive been going more often but I just dont love it  Its simply ok but the prices are outrageous  And the sounds and animatronics are a huge distraction from the soso food  The cocktails are alright but again the price is not right  The ony thing fun about the place for an adult is the gift shop and the lightup cocktail glasses which cost extra  Ive seen a lot of happy families in here though so I bet its better if you have little ones to bring along
5,Took my fiance there for Valentines day Birthday  I did a lot of research of romantic places around the Valley and this one really caught my eye  Immediately after walking through the door youll notice a dark and romantic ambiance with a lot of candle light  Seating is a bit tight but it wasnt bad enough for me to give it a lower review  We began with an appetizer called Table side guacamole which was incredible to say the least  It literally is made in front of your table  Then it was onto the main dish Buildyourown  Pork tacos  Talk about tender meat  The shoulder of pork literally fell right off onto the fork  The tortillas were exceptional and so was the tasty sauce which included pineapple glaze  So the food was absolutely deliciousbut the service was equally impressive  My water level never reached the bottom of the glass the entire night and I drink plenty  Everyone was incredibly nice and cheerfully said Happy Valentines Day and Happy Birthday to my fiance which made the experience even better  A fantastic place that Ill have no problem recommending to others to visit
5,"I have had a great experience every time I have been there  The food is hard to beat and the service was pleasant  

Portions are reasonable not huge Im a big feller and I was satified every time I ate there  

Very pleasant environment clean spacious and calm"
5,I love this restaurant I have been a fan of the Newport Beach location for years Scottsdale definitely did not disappoint The staff is friendly and knowledgeable The drinks are fresh worth the extra wait for the tasty Cucumber Jalapeño marg And the food Goes without saying its CRAVE worthy This is a new location so I expected the usual growing pains But overall a great dining experience Welcome to the neighborhood SOL Cocina
5,"That darn Smokehouse burger is awesome 5 stars 

The smoked corn was a little Meh it was oily like not butter oily not a huge fan of the texture either I like corn crunchy and it was not 

Service was great 

I did see an unmentionable bug running around near the back entrance towards the chicken rotisserie thing but bugs have to eat too right still 5 stars lol"
1,"My friend kept telling me how good their lunches are I tried it but it didnt do anything for me  The sandwich tasted like something you can get at Safeway but twice the price  For being called a Purveyor of Fine Foods I expected the food to taste like not just any ordinary sandwich 

What I had
Ham cheese with portobello mushrooms on a panini with 2 sides of pasta one was parmesan and the other was macaroni Maybe it was the panini bread I think the parmesan pasta was made there but I know for sure the macaroni was not made there it tasted like something I had at a picnic which was in a carton It wasnt anything to brag home about 

I found out the head chef made my sandwich keep him in the kitchen and away from the customers no personality whatsoever I asked for his suggestion and his reaction was anythings good 

Normally when I go to AJs I go for their desserts Their desserts are fabulous and you can get individual servings at a reasonable price  I can take an assortment home and have them for later 

Our company does use them for their catering and Ive had many compliments on their dishes but pass on the lunches"
5,Very friendly and knowledgeable guys
5,I have been here several times now and have never had a bad experience yet  Good food good service no complaints   Still have never made it here for happy hour but their specials during that time seem like quite a deal  The staff are always friendly and seem to remember us from one visit to another  Ive only ever eaten sushi here but they have a lot of other menu items that I would like to try at some point but I always turn to the sushi as it has always been good and fresh  I would recommend trying this restaurant
1,Absolutely horrendous  This post office will lose your mail repeatedly laugh about it to your face lie about it blow it off make it seem like its your fault and make you wish you had sent it UPS
5,Im from Chicago so Im picky with my pizzathis place does it right NY style I love the hole in the wall feel Every customer that walked in was a regular which was a good sign I ordered the Mozzarella sticks and a large Monster Pie Sausage pepperoni bell peppers onion and cheese The mozzarella sticks took a little while to come out but they were cooked to perfection They also threw in a few garlic knots which was awesome The pizza was unbelievableI think the crumbled sausage really did it They have great deals like large pie  20 wings for 20 which I definitely will be taking advantage of during football games on Sunday Glad to have found a new place where I can also be a regular
1,"Other than the really great happy hour prices its hit or miss with this place More often a miss 

The food is less than average the drinks NOT strong  at least they are inexpensive  but the service is truly hit or miss

Ill pass"
5,"Perhaps it was foolish for me to give La Condesa only four stars at first given the fact that I really liked it  What can I say  Im critical by nature  I knew I was going back soon so I felt like I had to save the last for a return visit  Well it just got it

This place is fantastic  In fact if CenPho lets this one go under I will personally hold all of you responsible watch out for a citizens arrest if I ever see you  However that is unlikely to happen because the food is damn tasty  

Today the Oaxaca black mole chicken taco had me swooning topped with pickled onions the chicken is tender and simmered in the lovely sauce  The Soronan carne asada taco chargrilled over mesquite charcoal is no slouch either Id rate it right up there with some of my favorites in town  

Go to this place I have a feeling Ill be here at least weekly  When and if they ever get a beerliquor licenseprobably more"
5,Great place for brunch or to relax with a coffee Their hot chocolate is amazing
1,Been here for many years but have seen a recent decline in quality service Felt scolded by the bartender today at lunch Felt disrespected as a customer Service sucks stay away bad service  bad review
5,Hands down the best breakfast Ive ever had anywhere It definitely feels like home cooked breakfast Ive never been to this place on the weekend when it isnt packed out the door Im not the only person that loves this place
5,"This place is fantastic

We went in on Sunday the 29th of July around 500pm The guy behind the counter told us to enjoy ourselves take our time ask if we had any questions We wandered around for a bit I found a bottle of Argyle bubbly that I wanted and then began to stare with lust in my eyes at the selection of Absinthe 

Girlfriend wandered over to ask the guy to recommend a white that wasnt a Chard as we both really dont like buttery oak anything He took a few cues from her and found a great bottle of white which we drank with great glee last night 

This was a test for the guy behind the counter She didnt set a price limit just said show me your favorite He could have done what many others have in the past and shown us a 50 bottle but instead he showed us a kick ass bottle at the 14 price point This is the mark of a good wine seller Find you what you want without bending you over on the price Yes sometimes I want to spend 400 a bottle but not all that often Id rather get my drink on at the price he found and he turned us onto a white we both REALLY liked which is super rare as we have very different tastes

Well absolutely be going back to buy more fermented grape from this place

Prices are on par with Total Wine but what youre really paying for is the help of someone who knows what they sell and likes their job Great job Sportsmans see you next Sunday for afternoon drinking"
